q      	cage        
5.885 	-1.25689    
5.895 	-1.24312    
5.905 	-1.22377    
5.915 	-1.19716    
5.925 	-1.16189    
5.935 	-1.11692    
5.945 	-1.06159    
5.955 	-0.99567    
5.965 	-0.919372   
5.975 	-0.833327   
5.985 	-0.738581   
5.995 	-0.636547   
6.005 	-0.528955   
6.015 	-0.417787   
6.025 	-0.305199   
6.035 	-0.193439   
6.045 	-0.0847646  
6.055 	0.0186485   
6.065 	0.114784    
6.075 	0.201864    
6.085 	0.278413    
6.095 	0.343314    
6.105 	0.395848    
6.115 	0.435718    
6.125 	0.463058    
6.135 	0.478422    
6.145 	0.482762    
6.155 	0.477385    
6.165 	0.463899    
6.175 	0.444153    
6.185 	0.420155    
6.195 	0.393999    
6.205 	0.367781    
6.215 	0.343518    
6.225 	0.323067    
6.235 	0.30806     
6.245 	0.299838    
6.255 	0.299405    
6.265 	0.307391    
6.275 	0.324029    
6.285 	0.349156    
6.295 	0.382218    
6.305 	0.422299    
6.315 	0.46816     
6.325 	0.518293    
6.335 	0.57098     
6.345 	0.624369    
6.355 	0.676544    
6.365 	0.725604    
6.375 	0.769741    
6.385 	0.807307    
6.395 	0.836883    
6.405 	0.857331    
6.415 	0.867842    
6.425 	0.867963    
6.435 	0.857616    
6.445 	0.837095    
6.455 	0.807061    
6.465 	0.768509    
6.475 	0.722726    
6.485 	0.671249    
6.495 	0.615793    
6.505 	0.558193    
6.515 	0.500328    
6.525 	0.444049    
6.535 	0.391112    
6.545 	0.343106    
6.555 	0.301397    
6.565 	0.267079    
6.575 	0.240932    
6.585 	0.223398    
6.595 	0.214567    
6.605 	0.214179    
6.615 	0.221637    
6.625 	0.236037    
6.635 	0.256205    
6.645 	0.280751    
6.655 	0.308123    
6.665 	0.336672    
6.675 	0.364723    
6.685 	0.390636    
6.695 	0.412875    
6.705 	0.430072    
6.715 	0.441075    
6.725 	0.444997    
6.735 	0.441249    
6.745 	0.429561    
6.755 	0.409993    
6.765 	0.382929    
6.775 	0.349063    
6.785 	0.309365    
6.795 	0.265048    
6.805 	0.217514    
6.815 	0.168296    
6.825 	0.119004    
6.835 	0.0712538   
6.845 	0.0266052   
6.855 	-0.0134979  
6.865 	-0.047786   
6.875 	-0.0752128  
6.885 	-0.0949963  
6.895 	-0.106649   
