q      	cage        
3.735 	1.52908     
3.745 	0.803371    
3.755 	0.285078    
3.765 	-0.0313935  
3.775 	-0.159668   
3.785 	-0.120634   
3.795 	0.0585997   
3.805 	0.345946    
3.815 	0.705759    
3.825 	1.10035     
3.835 	1.49153     
3.845 	1.84219     
3.855 	2.11772     
3.865 	2.28733     
3.875 	2.32523     
3.885 	2.21153     
3.895 	1.93292     
3.905 	1.48304     
3.915 	0.862606    
3.925 	0.0792621   
3.935 	-0.852891   
3.945 	-1.91396    
3.955 	-3.07914    
3.965 	-4.31983    
3.975 	-5.60476    
3.985 	-6.90131    
3.995 	-8.1768     
4.005 	-9.39977    
4.015 	-10.5412    
4.025 	-11.5755    
4.035 	-12.4815    
4.045 	-13.2433    
4.055 	-13.8505    
4.065 	-14.2987    
4.075 	-14.5897    
4.085 	-14.7306    
4.095 	-14.7343    
4.105 	-14.6182    
4.115 	-14.4037    
4.125 	-14.1152    
4.135 	-13.7792    
4.145 	-13.4227    
4.155 	-13.0726    
4.165 	-12.7547    
4.175 	-12.4921    
4.185 	-12.3048    
4.195 	-12.2086    
4.205 	-12.2149    
4.215 	-12.3299    
4.225 	-12.5547    
4.235 	-12.8851    
4.245 	-13.312     
4.255 	-13.8216    
4.265 	-14.3961    
4.275 	-15.0146    
4.285 	-15.6535    
4.295 	-16.2879    
4.305 	-16.8922    
4.315 	-17.4414    
4.325 	-17.9119    
4.335 	-18.2822    
4.345 	-18.5341    
4.355 	-18.6531    
4.365 	-18.6287    
4.375 	-18.4553    
4.385 	-18.1317    
4.395 	-17.6618    
4.405 	-17.0537    
4.415 	-16.3197    
4.425 	-15.4759    
4.435 	-14.5411    
4.445 	-13.5366    
4.455 	-12.4851    
4.465 	-11.4096    
4.475 	-10.3331    
4.485 	-9.27737    
4.495 	-8.26228    
4.505 	-7.30513    
4.515 	-6.42008    
4.525 	-5.61769    
4.535 	-4.90465    
4.545 	-4.28361    
4.555 	-3.75323    
4.565 	-3.30834    
4.575 	-2.94026    
4.585 	-2.63722    
4.595 	-2.38495    
4.605 	-2.1673     
4.615 	-1.96694    
4.625 	-1.7661     
4.635 	-1.54729    
4.645 	-1.29402    
4.655 	-0.991468   
