q      	sum          	Hg-I_2       	H_1-I_2      	I_2-I_2      	I_1-I_2      	O-Hg         	O-I_1        	H_2-Hg       	C-I_1        	H_1-I_1      	H_1-H_1      	C-C          	O-O          	H_2-H_2      	C-H_2        	O-I_2        	C-H_1        	C-I_2        	Hg-I_1       	O-H_2        	Hg-Hg        	H_1-H_2      	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	I_1-I_1      	H_2-I_2      	C-Hg        
0.165 	38519.3     	6854.95     	-218.64     	2800.93     	4084.01     	-1391.84    	-1006.13    	-97.7371    	-425.669    	-476.688    	-1889.91    	4323.31     	7444.28     	384.974     	236.719     	-518.559    	534.665     	-467.39     	6854.95     	228.66      	6382.37     	69.2615     	-61.3335    	1280.92     	2144.07     	-682.503    	2800.93     	-79.2136    	-590.08     
0.175 	38638       	6823.48     	-219.536    	2799.9      	4009.19     	-1469.76    	-1089.49    	-107.37     	-461.766    	-516.069    	-1857.83    	4404.86     	7594.78     	386.529     	267.77      	-531.756    	578.486     	-505.684    	6823.48     	254.987     	6380.87     	79.1716     	-66.3705    	1407.25     	2296.57     	-716.18     	2799.9      	-86.6909    	-640.762    
0.185 	38692       	6790.27     	-220.531    	2798.8      	3930.87     	-1503.21    	-1131.56    	-116.869    	-492.089    	-533.959    	-1831.18    	4448.44     	7713.26     	387.702     	289.545     	-544.533    	611.31      	-537.721    	6790.27     	274.121     	6379.28     	86.7488     	-71.1879    	1508.14     	2375.62     	-724.765    	2798.8      	-93.001     	-690.597    
0.195 	38684.3     	6755.33     	-221.548    	2797.65     	3849.18     	-1495.69    	-1134.91    	-126.107    	-516.577    	-531.773    	-1809.65    	4456.78     	7800.95     	388.495     	302.434     	-556.612    	633.344     	-563.603    	6755.33     	286.234     	6377.61     	91.9773     	-75.7302    	1584.61     	2386.42     	-710.448    	2797.65     	-98.1496    	-738.891    
0.205 	38619.9     	6718.68     	-222.51     	2796.43     	3764.29     	-1452.1     	-1103.41    	-134.963    	-535.357    	-511.63     	-1792.74    	4433.84     	7860.16     	388.924     	307.126     	-567.724    	645.133     	-583.627    	6718.68     	291.715     	6375.85     	94.909      	-79.9481    	1638.57     	2336.53     	-676.235    	2796.43     	-102.179    	-784.98     
0.215 	38505       	6680.33     	-223.346    	2795.16     	3676.34     	-1378.54    	-1042.1     	-143.32     	-548.724    	-476.234    	-1779.79    	4384.55     	7894.09     	389.016     	304.558     	-577.632    	647.52      	-598.26     	6680.33     	291.144     	6374        	95.6574     	-83.799     	1672.69     	2235.37     	-625.78     	2795.16     	-105.164    	-828.247    
0.225 	38347.3     	6640.31     	-223.993    	2793.83     	3585.49     	-1281.93    	-956.87     	-151.073    	-557.126    	-428.737    	-1769.99    	4314.56     	7906.68     	388.805     	295.869     	-586.133    	641.594     	-608.105    	6640.31     	285.26      	6372.07     	94.3898     	-87.2485    	1690.24     	2093.78     	-563.192    	2793.83     	-107.204    	-868.146    
0.235 	38155.1     	6598.64     	-224.403    	2792.44     	3491.92     	-1169.68    	-854.207    	-158.133    	-561.13     	-372.581    	-1762.45    	4229.97     	7902.41     	388.331     	282.333     	-593.076    	628.633     	-613.862    	6598.64     	274.914     	6370.05     	91.3179     	-90.2704    	1694.92     	1923.39     	-492.828    	2792.44     	-108.421    	-904.221    
0.245 	37937.1     	6555.34     	-224.548    	2790.99     	3395.8      	-1049.35    	-740.865    	-164.425    	-561.402    	-311.341    	-1756.22    	4136.96     	7886.06     	387.64      	265.303     	-598.363    	610.04      	-616.292    	6555.34     	261.035     	6367.94     	86.6877     	-92.8479    	1690.69     	1736.11     	-419.082    	2790.99     	-108.949    	-936.124    
0.255 	37702.1     	6510.43     	-224.417    	2789.48     	3297.29     	-928.242    	-623.578    	-169.897    	-558.669    	-248.563    	-1750.36    	4041.59     	7862.5      	386.779     	246.15      	-601.958    	587.281     	-616.177    	6510.43     	244.582     	6365.75     	80.7681     	-94.9737    	1681.63     	1543.54     	-346.184    	2789.48     	-108.928    	-963.622    
