q      	H_1-I_2      	H_2-Hg       	C-I_1        	H_1-I_1      	C-I_2        	O-H_2        	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	H_2-I_2      	C-Hg        
0.565 	-122.985    	-164.377    	-383.181    	-104.399    	-441.447    	-64.7471    	-65.5255    	3787.96     	630.455     	-128.045    	-76.6936    	-907.397    
0.575 	-113.38     	-161.743    	-364.968    	-84.8485    	-430.948    	-77.8834    	-63.1928    	3857.93     	586.502     	-115.574    	-74.84      	-888.648    
0.585 	-104.935    	-158.757    	-347.912    	-71.2172    	-421.712    	-90.3684    	-60.7884    	3935.82     	558.746     	-111.066    	-73.1238    	-868.625    
0.595 	-98.0367    	-155.457    	-332.403    	-63.8029    	-413.72     	-102.188    	-58.3472    	4022.8      	546.469     	-114.233    	-71.533     	-847.683    
0.605 	-93.0426    	-151.893    	-318.768    	-62.5522    	-406.883    	-113.39     	-55.9089    	4119.76     	548.055     	-124.381    	-70.0441    	-826.205    
0.615 	-90.2672    	-148.126    	-307.255    	-67.0765    	-401.051    	-124.078    	-53.5169    	4227.31     	561.133     	-140.459    	-68.6245    	-804.583    
0.625 	-89.9648    	-144.222    	-298.031    	-76.6841    	-396.023    	-134.406    	-51.2166    	4345.7      	582.742     	-161.132    	-67.2338    	-783.2      
0.635 	-92.3157    	-140.25     	-291.173    	-90.4286    	-391.559    	-144.565    	-49.0532    	4474.91     	609.54      	-184.867    	-65.8272    	-762.405    
0.645 	-97.4136    	-136.281    	-286.67     	-107.168    	-387.396    	-154.773    	-47.0705    	4614.59     	638.008     	-210.021    	-64.358     	-742.504    
0.655 	-105.257    	-132.381    	-284.427    	-125.634    	-383.264    	-165.258    	-45.3083    	4764.17     	664.673     	-234.943    	-62.7805    	-723.74     
0.665 	-115.742    	-128.613    	-284.276    	-144.502    	-378.899    	-176.245    	-43.8012    	4922.8      	686.309     	-258.057    	-61.054     	-706.285    
0.675 	-128.665    	-125.03     	-285.98     	-162.468    	-374.062    	-187.943    	-42.5768    	5089.47     	700.118     	-277.954    	-59.1447    	-690.234    
0.685 	-143.719    	-121.674    	-289.25     	-178.316    	-368.551    	-200.531    	-41.6543    	5263.02     	703.881     	-293.464    	-57.0291    	-675.605    
0.695 	-160.506    	-118.578    	-293.761    	-190.985    	-362.213    	-214.149    	-41.0437    	5442.18     	696.071     	-303.709    	-54.6956    	-662.341    
0.705 	-178.543    	-115.759    	-299.166    	-199.62     	-354.951    	-228.886    	-40.7449    	5625.63     	675.914     	-308.147    	-52.1462    	-650.317    
0.715 	-197.28     	-113.226    	-305.115    	-203.614    	-346.733    	-244.781    	-40.748     	5812.04     	643.409     	-306.589    	-49.3973    	-639.357    
0.725 	-216.114    	-110.973    	-311.266    	-202.636    	-337.593    	-261.814    	-41.0326    	6000.09     	599.304     	-299.199    	-46.4796    	-629.241    
0.735 	-234.411    	-108.985    	-317.305    	-196.643    	-327.628    	-279.912    	-41.5692    	6188.56     	545.021     	-286.471    	-43.4379    	-619.729    
0.745 	-251.526    	-107.237    	-322.956    	-185.873    	-317        	-298.952    	-42.3197    	6376.3      	482.553     	-269.196    	-40.3289    	-610.574    
0.755 	-266.83     	-105.698    	-327.989    	-170.833    	-305.922    	-318.765    	-43.2389    	6562.29     	414.32      	-248.402    	-37.2198    	-601.545    
0.765 	-279.726    	-104.331    	-332.232    	-152.259    	-294.653    	-339.151    	-44.2763    	6745.66     	343.019     	-225.294    	-34.1852    	-592.44     
0.775 	-289.675    	-103.1      	-335.57     	-131.078    	-283.486    	-359.887    	-45.3773    	6925.68     	271.445     	-201.18     	-31.3042    	-583.103    
0.785 	-296.216    	-101.967    	-337.952    	-108.353    	-272.731    	-380.738    	-46.4861    	7101.8      	202.327     	-177.391    	-28.657     	-573.435    
0.795 	-298.98     	-100.896    	-339.38     	-85.2241    	-262.707    	-401.475    	-47.5471    	7273.63     	138.166     	-155.21     	-26.3213    	-563.404    
0.805 	-297.71     	-99.8586    	-339.913    	-62.8466    	-253.723    	-421.881    	-48.5074    	7440.96     	81.092      	-135.798    	-24.3686    	-553.047    
0.815 	-292.267    	-98.8293    	-339.651    	-42.3306    	-246.067    	-441.769    	-49.3181    	7603.75     	32.7481     	-120.131    	-22.861     	-542.467    
0.825 	-282.635    	-97.7917    	-338.733    	-24.6829    	-239.993    	-460.988    	-49.9371    	7762.11     	-5.79279    	-108.954    	-21.8486    	-531.832    
0.835 	-268.928    	-96.737     	-337.319    	-10.7559    	-235.708    	-479.433    	-50.3298    	7916.3      	-34.0758    	-102.74     	-21.3663    	-521.36     
0.845 	-251.383    	-95.6638    	-335.583    	-1.20548    	-233.366    	-497.052    	-50.4703    	8066.72     	-52.273     	-101.671    	-21.4325    	-511.309    
0.855 	-230.353    	-94.5781    	-333.698    	3.53989     	-233.06     	-513.843    	-50.3428    	8213.9      	-61.1559    	-105.637    	-22.0476    	-501.957    
0.865 	-206.296    	-93.492     	-331.826    	3.2982      	-234.818    	-529.861    	-49.9418    	8358.45     	-62.0323    	-114.246    	-23.1937    	-493.585    
0.875 	-179.759    	-92.4221    	-330.109    	-1.86049    	-238.6      	-545.21     	-49.2716    	8501.11     	-56.6534    	-126.852    	-24.8351    	-486.453    
0.885 	-151.363    	-91.3878    	-328.659    	-11.6212    	-244.304    	-560.04     	-48.347     	8642.65     	-47.0972    	-142.594    	-26.9189    	-480.785    
0.895 	-121.777    	-90.4089    	-327.552    	-25.4436    	-251.766    	-574.538    	-47.1914    	8783.9      	-35.6348    	-160.454    	-29.3775    	-476.745    
0.905 	-91.7008    	-89.5039    	-326.825    	-42.5927    	-260.766    	-588.916    	-45.8368    	8925.74     	-24.5892    	-179.308    	-32.1303    	-474.427    
0.915 	-61.8381    	-88.6878    	-326.477    	-62.1786    	-271.038    	-603.404    	-44.3213    	9069.01     	-16.1939    	-197.994    	-35.0872    	-473.834    
0.925 	-32.8768    	-87.9699    	-326.468    	-83.2033    	-282.279    	-618.236    	-42.6887    	9214.57     	-12.4594    	-215.375    	-38.1516    	-474.878    
0.935 	-5.46609    	-87.3526    	-326.724    	-104.612    	-294.161    	-633.633    	-40.9858    	9363.21     	-15.0565    	-230.397    	-41.224     	-477.371    
0.945 	19.8035     	-86.83      	-327.146    	-125.346    	-306.34     	-649.801    	-39.261     	9515.66     	-25.2207    	-242.149    	-44.2057    	-481.031    
0.955 	42.4169     	-86.3874    	-327.615    	-144.394    	-318.469    	-666.911    	-37.5624    	9672.54     	-43.6839    	-249.902    	-47.0025    	-485.486    
0.965 	61.9493     	-86.0011    	-328.005    	-160.843    	-330.211    	-685.094    	-35.9359    	9834.38     	-70.6362    	-253.15     	-49.5277    	-490.291    
0.975 	78.0761     	-85.639     	-328.189    	-173.916    	-341.247    	-704.433    	-34.4238    	10001.5     	-105.719    	-251.629    	-51.7056    	-494.943    
0.985 	90.5805     	-85.2617    	-328.055    	-183.011    	-351.29     	-724.96     	-33.0635    	10174.3     	-148.048    	-245.325    	-53.4734    	-498.903    
0.995 	99.3557     	-84.8239    	-327.512    	-187.723    	-360.089    	-746.65     	-31.8858    	10352.6     	-196.267    	-234.47     	-54.7836    	-501.623    
1.005 	104.404     	-84.2766    	-326.498    	-187.861    	-367.439    	-769.423    	-30.9146    	10536.3     	-248.625    	-219.527    	-55.6055    	-502.568    
1.015 	105.833     	-83.5695    	-324.992    	-183.448    	-373.187    	-793.146    	-30.1662    	10725.2     	-303.067    	-201.157    	-55.9252    	-501.246    
1.025 	103.846     	-82.6534    	-323.01     	-174.718    	-377.233    	-817.641    	-29.6489    	10918.7     	-357.354    	-180.183    	-55.7461    	-497.235    
1.035 	98.7302     	-81.4831    	-320.616    	-162.095    	-379.533    	-842.686    	-29.3633    	11116.1     	-409.167    	-157.544    	-55.088     	-490.204    
1.045 	90.8459     	-80.0199    	-317.913    	-146.17     	-380.098    	-868.027    	-29.3026    	11316.5     	-456.231    	-134.244    	-53.9858    	-479.932    
1.055 	80.6084     	-78.2342    	-315.045    	-127.663    	-378.993    	-893.389    	-29.4533    	11518.8     	-496.421    	-111.301    	-52.4877    	-466.328    
1.065 	68.4727     	-76.1072    	-312.19     	-107.391    	-376.333    	-918.484    	-29.7961    	11721.8     	-527.857    	-89.6945    	-50.6528    	-449.437    
1.075 	54.916      	-73.6326    	-309.548    	-86.2167    	-372.275    	-943.02     	-30.3068    	11924.1     	-548.982    	-70.3214    	-48.5485    	-429.443    
1.085 	40.4209     	-70.8178    	-307.333    	-65.0131    	-367.016    	-966.715    	-30.9577    	12124.4     	-558.617    	-53.9523    	-46.2477    	-406.67     
1.095 	25.4598     	-67.684     	-305.761    	-44.616     	-360.784    	-989.303    	-31.7184    	12321.1     	-555.997    	-41.1997    	-43.8259    	-381.569    
1.105 	10.4798     	-64.266     	-305.034    	-25.7873    	-353.824    	-1010.54    	-32.5574    	12512.6     	-540.771    	-32.4942    	-41.358     	-354.705    
1.115 	-4.1097     	-60.6112    	-305.332    	-9.18009    	-346.399    	-1030.22    	-33.4433    	12697.4     	-512.992    	-28.071     	-38.9159    	-326.733    
1.125 	-17.9476    	-56.7779    	-306.795    	4.68863     	-338.772    	-1048.17    	-34.3454    	12874.1     	-473.071    	-27.9677    	-36.5657    	-298.373    
1.135 	-30.7292    	-52.8331    	-309.517    	15.4575     	-331.202    	-1064.26    	-35.235     	13041.2     	-421.721    	-32.031     	-34.3658    	-270.381    
1.145 	-42.2114    	-48.8497    	-313.531    	22.9322     	-323.936    	-1078.38    	-36.0862    	13197.2     	-359.886    	-39.9338    	-32.365     	-243.519    
1.155 	-52.2157    	-44.9035    	-318.808    	27.0876     	-317.195    	-1090.49    	-36.876     	13341.1     	-288.653    	-51.2002    	-30.601     	-218.52     
1.165 	-60.6277    	-41.07      	-325.251    	28.062      	-311.173    	-1100.55    	-37.5852    	13471.7     	-209.168    	-65.2361    	-29.1002    	-196.055    
1.175 	-67.3958    	-37.421     	-332.692    	26.1427     	-306.028    	-1108.59    	-38.1982    	13588       	-122.549    	-81.3653    	-27.877     	-176.707    
1.185 	-72.5259    	-34.0213    	-340.899    	21.7455     	-301.876    	-1114.64    	-38.7031    	13689.4     	-29.8073    	-98.8668    	-26.934     	-160.945    
1.195 	-76.0756    	-30.926     	-349.581    	15.3877     	-298.792    	-1118.75    	-39.0917    	13775.1     	68.2233     	-117.013    	-26.2629    	-149.1      
1.205 	-78.1465    	-28.1775    	-358.397    	7.65736     	-296.801    	-1121       	-39.3587    	13844.9     	170.94      	-135.106    	-25.8456    	-141.352    
1.215 	-78.8759    	-25.8043    	-366.969    	-0.819201   	-295.883    	-1121.45    	-39.5019    	13898.3     	278.008     	-152.507    	-25.6551    	-137.72     
1.225 	-78.4274    	-23.8188    	-374.895    	-9.4114     	-295.971    	-1120.19    	-39.5213    	13935.4     	389.379     	-168.669    	-25.6579    	-138.061    
1.235 	-76.9815    	-22.2175    	-381.769    	-17.5167    	-296.955    	-1117.28    	-39.4187    	13956.2     	505.291     	-183.15     	-25.8152    	-142.078    
1.245 	-74.7272    	-20.9806    	-387.194    	-24.5902    	-298.686    	-1112.79    	-39.1973    	13960.8     	626.25      	-195.633    	-26.085     	-149.326    
1.255 	-71.8529    	-20.073     	-390.803    	-30.1703    	-300.98     	-1106.75    	-38.8611    	13949.4     	752.997     	-205.924    	-26.4242    	-159.236    
1.265 	-68.5397    	-19.4463    	-392.272    	-33.8987    	-303.623    	-1099.2     	-38.4143    	13922.5     	886.458     	-213.959    	-26.7898    	-171.136    
1.275 	-64.9543    	-19.0406    	-391.338    	-35.5347    	-306.384    	-1090.13    	-37.8616    	13880.5     	1027.69     	-219.787    	-27.1414    	-184.282    
1.285 	-61.2448    	-18.7877    	-387.809    	-34.9623    	-309.017    	-1079.54    	-37.2072    	13823.8     	1177.82     	-223.562    	-27.4418    	-197.884    
1.295 	-57.5364    	-18.6138    	-381.576    	-32.1913    	-311.272    	-1067.4     	-36.4551    	13753       	1337.98     	-225.518    	-27.6586    	-211.145    
