q      	H_1-I_2      	H_2-Hg       	C-I_1        	H_1-I_1      	C-I_2        	O-H_2        	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	H_2-I_2      	C-Hg        
3.445 	6.23494     	-0.647418   	1.29698     	2.30219     	21.9006     	80.448      	-1.21352    	-20.9893    	-1896.63    	-2.95979    	-1.54112    	19.6902     
3.455 	6.54436     	-0.704989   	3.83075     	2.41653     	23.1529     	80.6732     	-1.25991    	-22.89      	-1834.24    	-2.72673    	-1.57691    	21.6475     
3.465 	6.83215     	-0.759231   	6.58663     	2.54122     	24.3513     	80.8833     	-1.30315    	-24.7919    	-1773.42    	-2.43973    	-1.60084    	23.8326     
3.475 	7.08074     	-0.811329   	9.4922      	2.67133     	25.4989     	81.0809     	-1.34163    	-26.7104    	-1714.07    	-2.08201    	-1.61181    	26.2224     
3.485 	7.27372     	-0.862403   	12.4687     	2.80264     	26.5961     	81.2675     	-1.37393    	-28.6543    	-1656.13    	-1.64069    	-1.60918    	28.7804     
3.495 	7.39662     	-0.913422   	15.4344     	2.93183     	27.6406     	81.4438     	-1.39883    	-30.6264    	-1599.47    	-1.10763    	-1.59277    	31.4585     
3.505 	7.43772     	-0.965144   	18.3075     	3.05653     	28.6265     	81.6091     	-1.41536    	-32.6235    	-1543.98    	-0.47997    	-1.56284    	34.1995     
3.515 	7.3886      	-1.01805    	21.0102     	3.17534     	29.5443     	81.7623     	-1.4228     	-34.6369    	-1489.56    	0.239641    	-1.52014    	36.9402     
3.525 	7.24465     	-1.0723     	23.4711     	3.28773     	30.3808     	81.9017     	-1.42071    	-36.6536    	-1436.09    	1.04312     	-1.46578    	39.6142     
3.535 	7.00529     	-1.12771    	25.6292     	3.3939      	31.1198     	82.0251     	-1.40888    	-38.6572    	-1383.46    	1.91737     	-1.40126    	42.1556     
3.545 	6.67408     	-1.18374    	27.4352     	3.49456     	31.7426     	82.1303     	-1.38735    	-40.6291    	-1331.57    	2.845       	-1.32833    	44.5018     
3.555 	6.25854     	-1.23952    	28.8547     	3.59072     	32.2291     	82.215      	-1.35638    	-42.5502    	-1280.37    	3.80529     	-1.24896    	46.5963     
3.565 	5.76987     	-1.29389    	29.8685     	3.68342     	32.5589     	82.2776     	-1.31643    	-44.4019    	-1229.78    	4.77528     	-1.16524    	48.3913     
3.575 	5.22245     	-1.3454     	30.4738     	3.77351     	32.7127     	82.3166     	-1.26813    	-46.1679    	-1179.77    	5.73115     	-1.07928    	49.8497     
3.585 	4.63318     	-1.39247    	30.6836     	3.86142     	32.6736     	82.3313     	-1.21224    	-47.8349    	-1130.35    	6.64942     	-0.993121   	50.9465     
3.595 	4.02075     	-1.43341    	30.5263     	3.94701     	32.4284     	82.3218     	-1.14963    	-49.3941    	-1081.52    	7.50833     	-0.908678   	51.6696     
3.605 	3.40478     	-1.46652    	30.0433     	4.02943     	31.9686     	82.2887     	-1.08129    	-50.8416    	-1033.34    	8.28893     	-0.827639   	52.0196     
3.615 	2.80496     	-1.49021    	29.2875     	4.10708     	31.2917     	82.2338     	-1.00822    	-52.179     	-985.863    	8.97615     	-0.751419   	52.0099     
3.625 	2.2402      	-1.50311    	28.3201     	4.17764     	30.4017     	82.1592     	-0.931492   	-53.4137    	-939.198    	9.55953     	-0.681107   	51.6652     
3.635 	1.72776     	-1.50411    	27.2075     	4.23813     	29.3096     	82.0678     	-0.852169   	-54.5586    	-893.45     	10.0337     	-0.617442   	51.02       
3.645 	1.28257     	-1.4925     	26.0179     	4.28508     	28.0333     	81.9632     	-0.771319   	-55.6314    	-848.747    	10.3986     	-0.560797   	50.1167     
3.655 	0.916582    	-1.46796    	24.8181     	4.31472     	26.5973     	81.8491     	-0.68998    	-56.6546    	-805.223    	10.6593     	-0.511188   	49.0036     
3.665 	0.638283    	-1.4307     	23.6699     	4.32321     	25.0319     	81.7294     	-0.609156   	-57.6538    	-763.017    	10.8256     	-0.468296   	47.7321     
3.675 	0.452404    	-1.38139    	22.6274     	4.3069      	23.3725     	81.608      	-0.529793   	-58.6566    	-722.267    	10.9114     	-0.431506   	46.3546     
3.685 	0.359774    	-1.3212     	21.7341     	4.26261     	21.6577     	81.4885     	-0.452771   	-59.692     	-683.099    	10.9337     	-0.399958   	44.9223     
3.695 	0.357362    	-1.25174    	21.0213     	4.18784     	19.9284     	81.3743     	-0.378891   	-60.7881    	-645.629    	10.9117     	-0.372611   	43.4825     
3.705 	0.438495    	-1.17506    	20.5063     	4.08103     	18.2254     	81.268      	-0.308858   	-61.9717    	-609.95     	10.8651     	-0.348306   	42.0779     
3.715 	0.593229    	-1.09349    	20.1924     	3.94167     	16.5884     	81.1716     	-0.243275   	-63.2667    	-576.133    	10.8136     	-0.325844   	40.7441     
3.725 	0.808862    	-1.0096     	20.0685     	3.77047     	15.0535     	81.0862     	-0.182629   	-64.6928    	-544.221    	10.775      	-0.304053   	39.5093     
3.735 	1.07056     	-0.926052   	20.1103     	3.56937     	13.6524     	81.0124     	-0.127279   	-66.2655    	-514.228    	10.7647     	-0.281853   	38.3938     
3.745 	1.36204     	-0.845512   	20.2821     	3.34153     	12.4106     	80.9495     	-0.0774523  	-67.9947    	-486.135    	10.7945     	-0.25832    	37.4096     
3.755 	1.66637     	-0.770491   	20.5385     	3.09121     	11.3461     	80.8962     	-0.0332341  	-69.8847    	-459.894    	10.8719     	-0.232732   	36.5611     
3.765 	1.96664     	-0.703238   	20.8278     	2.82364     	10.4694     	80.8504     	0.00543213  	-71.9346    	-435.426    	10.9998     	-0.204604   	35.8456     
3.775 	2.24678     	-0.645625   	21.0943     	2.54478     	9.78261     	80.8093     	0.0387449   	-74.138     	-412.626    	11.1763     	-0.173714   	35.2543     
3.785 	2.49218     	-0.599054   	21.2823     	2.26106     	9.2795      	80.7698     	0.0670391   	-76.4839    	-391.368    	11.3947     	-0.140105   	34.774      
3.795 	2.69028     	-0.564377   	21.3386     	1.97912     	8.9463      	80.728      	0.0907758   	-78.9574    	-371.504    	11.6444     	-0.104083   	34.3876     
3.805 	2.83105     	-0.541853   	21.2164     	1.70546     	8.76234     	80.6802     	0.110527    	-81.5406    	-352.878    	11.911      	-0.0661897  	34.0764     
3.815 	2.90734     	-0.531121   	20.8771     	1.44621     	8.70124     	80.6225     	0.126956    	-84.2138    	-335.325    	12.1775     	-0.027173   	33.8209     
3.825 	2.91505     	-0.531216   	20.2936     	1.20678     	8.7324      	80.5512     	0.140791    	-86.9565    	-318.682    	12.4252     	0.0120624   	33.6018     
3.835 	2.85321     	-0.540604   	19.4511     	0.991679    	8.82262     	80.4627     	0.152799    	-89.7486    	-302.79     	12.635      	0.0505066   	33.4017     
3.845 	2.72388     	-0.557255   	18.3488     	0.804325    	8.93783     	80.3539     	0.163753    	-92.5716    	-287.504    	12.7885     	0.0871027   	33.2051     
3.855 	2.53193     	-0.578732   	16.9996     	0.646894    	9.04485     	80.2224     	0.174399    	-95.4092    	-272.698    	12.869      	0.120808    	32.9992     
3.865 	2.28472     	-0.602314   	15.4302     	0.520275    	9.11305     	80.0663     	0.185424    	-98.2487    	-258.265    	12.8627     	0.150654    	32.7739     
3.875 	1.99161     	-0.62512    	13.6792     	0.424075    	9.11583     	79.8841     	0.197424    	-101.081    	-244.125    	12.7596     	0.175798    	32.5219     
3.885 	1.66351     	-0.644254   	11.796      	0.356694    	9.03189     	79.6752     	0.210876    	-103.901    	-230.228    	12.5537     	0.195578    	32.2381     
3.895 	1.31229     	-0.656945   	9.8378      	0.315451    	8.84616     	79.4396     	0.226113    	-106.707    	-216.548    	12.244      	0.209542    	31.919      
3.905 	0.95021     	-0.660687   	7.86685     	0.296775    	8.55036     	79.1778     	0.24331     	-109.505    	-203.093    	11.8345     	0.217484    	31.5622     
3.915 	0.589367    	-0.653362   	5.94745     	0.29642     	8.1432      	78.8909     	0.262472    	-112.299    	-189.892    	11.3338     	0.219455    	31.1657     
3.925 	0.241157    	-0.633348   	4.14253     	0.309714    	7.63022     	78.5801     	0.283433    	-115.102    	-177.002    	10.7549     	0.215764    	30.7266     
3.935 	-0.0841912  	-0.599603   	2.51044     	0.331817    	7.02316     	78.2473     	0.305863    	-117.925    	-164.499    	10.1148     	0.206968    	30.2413     
3.945 	-0.378005   	-0.551717   	1.10197     	0.357965    	6.33912     	77.8943     	0.329285    	-120.784    	-152.475    	9.43333     	0.193848    	29.7041     
3.955 	-0.633465   	-0.489942   	-0.0423413  	0.383708    	5.59935     	77.5231     	0.353098    	-123.693    	-141.03     	8.73222     	0.177377    	29.1074     
3.965 	-0.845802   	-0.415177   	-0.894304   	0.405104    	4.82788     	77.1353     	0.37661     	-126.667    	-130.272    	8.03426     	0.158671    	28.4412     
3.975 	-1.01238    	-0.328931   	-1.43959    	0.418878    	4.04997     	76.7328     	0.399072    	-129.72     	-120.307    	7.36198     	0.138943    	27.6939     
3.985 	-1.13269    	-0.233251   	-1.67854    	0.422528    	3.29058     	76.3168     	0.419725    	-132.864    	-111.234    	6.73664     	0.119447    	26.8518     
3.995 	-1.2082     	-0.130626   	-1.6262     	0.414381    	2.57281     	75.8886     	0.437837    	-136.109    	-103.14     	6.17714     	0.101421    	25.9005     
4.005 	-1.24221    	-0.0238706  	-1.31169    	0.393591    	1.91658     	75.4488     	0.452748    	-139.46     	-96.0997    	5.69921     	0.0860323   	24.8257     
4.015 	-1.23949    	0.0840146   	-0.776749   	0.360089    	1.33735     	74.9977     	0.463912    	-142.92     	-90.1648    	5.31463     	0.0743251   	23.6136     
4.025 	-1.20605    	0.189981    	-0.0737134  	0.314492    	0.845318    	74.5351     	0.470932    	-146.489    	-85.3671    	5.03079     	0.0671764   	22.2527     
4.035 	-1.14865    	0.291077    	0.737039    	0.257968    	0.444727    	74.0607     	0.473586    	-150.163    	-81.715     	4.85035     	0.0652584   	20.7347     
4.045 	-1.07453    	0.384589    	1.59008     	0.192084    	0.133691    	73.5736     	0.471851    	-153.933    	-79.193     	4.77125     	0.0690113   	19.0555     
4.055 	-0.99094    	0.468164    	2.41816     	0.118637    	-0.0957158  	73.0726     	0.465908    	-157.79     	-77.7626    	4.78694     	0.0786269   	17.2163     
4.065 	-0.904845   	0.539918    	3.15551     	0.0394837   	-0.256983   	72.5563     	0.456145    	-161.72     	-77.364     	4.88674     	0.094044    	15.2243     
4.075 	-0.822569   	0.59852     	3.7411      	-0.0436168  	-0.368366   	72.023      	0.443145    	-165.711    	-77.9185    	5.05652     	0.114955    	13.093      
4.085 	-0.749552   	0.643243    	4.12163     	-0.12914    	-0.451819   	71.4712     	0.427663    	-169.745    	-79.3318    	5.27945     	0.140822    	10.8427     
4.095 	-0.690144   	0.67399     	4.25409     	-0.215903   	-0.531708   	70.8989     	0.410591    	-173.808    	-81.4978    	5.5369      	0.170908    	8.49989     
4.105 	-0.647481   	0.691288    	4.1079      	-0.303129   	-0.633379   	70.3046     	0.392925    	-177.884    	-84.3028    	5.80935     	0.204308    	6.09713     
4.115 	-0.623429   	0.696243    	3.66635     	-0.390482   	-0.781671   	69.6863     	0.37571     	-181.96     	-87.6295    	6.0774      	0.239993    	3.67176     
4.125 	-0.618602   	0.690481    	2.92734     	-0.478047   	-0.99944    	69.0426     	0.359996    	-186.024    	-91.3615    	6.32264     	0.276857    	1.2649      
4.135 	-0.632443   	0.676049    	1.90346     	-0.566284   	-1.30619    	68.3721     	0.346784    	-190.065    	-95.3872    	6.52849     	0.313766    	-1.0802     
4.145 	-0.663369   	0.655307    	0.621289    	-0.655936   	-1.7169     	67.6733     	0.336973    	-194.075    	-99.6031    	6.68091     	0.349607    	-3.31977    
4.155 	-0.708955   	0.630801    	-0.87994    	-0.747916   	-2.24105    	66.9453     	0.331316    	-198.049    	-103.917    	6.76895     	0.38333     	-5.41146    
4.165 	-0.76616    	0.605131    	-2.55033    	-0.843182   	-2.88198    	66.187      	0.330381    	-201.984    	-108.248    	6.7851      	0.413998    	-7.31615    
4.175 	-0.831565   	0.580815    	-4.33177    	-0.942593   	-3.63658    	65.3978     	0.334515    	-205.879    	-112.534    	6.72547     	0.440814    	-8.99981    
4.185 	-0.901617   	0.560169    	-6.16079    	-1.04678    	-4.49529    	64.5769     	0.343827    	-209.736    	-116.724    	6.58976     	0.463158    	-10.4351    
4.195 	-0.972873   	0.545185    	-7.97164    	-1.15601    	-5.44251    	63.724      	0.358172    	-213.557    	-120.785    	6.38109     	0.4806      	-11.6029    
4.205 	-1.04221    	0.537444    	-9.69942    	-1.27013    	-6.45726    	62.8388     	0.377162    	-217.347    	-124.697    	6.10561     	0.492915    	-12.4933    
4.215 	-1.10701    	0.538038    	-11.2832    	-1.38846    	-7.51417    	61.9211     	0.400171    	-221.11     	-128.454    	5.77201     	0.500083    	-13.1061    
4.225 	-1.1653     	0.547527    	-12.6687    	-1.50979    	-8.58473    	60.9709     	0.426368    	-224.85     	-132.06     	5.39093     	0.502282    	-13.4516    
4.235 	-1.21584    	0.565922    	-13.811     	-1.63238    	-9.63866    	59.9881     	0.454748    	-228.572    	-135.529    	4.97428     	0.499871    	-13.5497    
4.245 	-1.25819    	0.592697    	-14.6764    	-1.75405    	-10.6454    	58.9729     	0.484179    	-232.279    	-138.879    	4.53455     	0.49337     	-13.4298    
4.255 	-1.29266    	0.626826    	-15.2437    	-1.87222    	-11.5756    	57.9255     	0.513452    	-235.972    	-142.134    	4.08415     	0.483428    	-13.1294    
4.265 	-1.3203     	0.666851    	-15.5051    	-1.9841     	-12.4026    	56.8464     	0.541337    	-239.651    	-145.319    	3.63475     	0.470792    	-12.6925    
4.275 	-1.34276    	0.710964    	-15.4663    	-2.08681    	-13.1037    	55.7361     	0.566635    	-243.315    	-148.454    	3.19677     	0.456267    	-12.168     
4.285 	-1.36219    	0.757108    	-15.1459    	-2.17753    	-13.6613    	54.595      	0.588236    	-246.96     	-151.56     	2.77889     	0.440682    	-11.6074    
4.295 	-1.38106    	0.803095    	-14.5743    	-2.25373    	-14.0638    	53.4242     	0.605166    	-250.58     	-154.65     	2.38778     	0.424852    	-11.0627    
4.305 	-1.40199    	0.846714    	-13.7918    	-2.3133     	-14.3059    	52.2245     	0.616628    	-254.166    	-157.73     	2.02788     	0.409544    	-10.584     
4.315 	-1.42756    	0.885857    	-12.8467    	-2.35472    	-14.3893    	50.997      	0.622041    	-257.712    	-160.8      	1.70137     	0.395446    	-10.2175    
4.325 	-1.46016    	0.918618    	-11.7926    	-2.37719    	-14.322     	49.743      	0.62106     	-261.205    	-163.853    	1.40824     	0.383138    	-10.0033    
4.335 	-1.5018     	0.943391    	-10.6856    	-2.38069    	-14.1182    	48.4642     	0.613588    	-264.635    	-166.871    	1.14651     	0.373077    	-9.97341    
4.345 	-1.55397    	0.958948    	-9.58192    	-2.36606    	-13.7976    	47.162      	0.599778    	-267.99     	-169.833    	0.91249     	0.365578    	-10.1509    
4.355 	-1.61758    	0.964494    	-8.53479    	-2.33499    	-13.3842    	45.8384     	0.580022    	-271.26     	-172.708    	0.701208    	0.360809    	-10.5485    
4.365 	-1.69282    	0.959696    	-7.59222    	-2.28994    	-12.9052    	44.4953     	0.554927    	-274.433    	-175.463    	0.506791    	0.35879     	-11.1682    
4.375 	-1.7792     	0.944694    	-6.79475    	-2.2341     	-12.3895    	43.1348     	0.525285    	-277.499    	-178.06     	0.322924    	0.359399    	-12.0013    
4.385 	-1.87551    	0.92008     	-6.17376    	-2.17117    	-11.8665    	41.7588     	0.492036    	-280.45     	-180.459    	0.143288    	0.362383    	-13.0286    
4.395 	-1.97991    	0.886857    	-5.75025    	-2.10525    	-11.3645    	40.3697     	0.456221    	-283.278    	-182.619    	-0.0380353  	0.367375    	-14.2219    
4.405 	-2.08998    	0.84638     	-5.53415    	-2.0406     	-10.9094    	38.9694     	0.418931    	-285.978    	-184.5      	-0.226214   	0.373916    	-15.545     
4.415 	-2.20284    	0.800274    	-5.52424    	-1.98145    	-10.5233    	37.56       	0.381266    	-288.545    	-186.064    	-0.42538    	0.381475    	-16.9553    
4.425 	-2.31532    	0.750345    	-5.7086     	-1.93173    	-10.2238    	36.1433     	0.344282    	-290.979    	-187.276    	-0.638439   	0.38948     	-18.4063    
4.435 	-2.42406    	0.698487    	-6.06563    	-1.89489    	-10.023     	34.7212     	0.30895     	-293.277    	-188.106    	-0.866957   	0.397341    	-19.8493    
4.445 	-2.52573    	0.646576    	-6.56547    	-1.87373    	-9.92717    	33.295      	0.276117    	-295.442    	-188.525    	-1.11115    	0.404475    	-21.2358    
4.455 	-2.61713    	0.596378    	-7.17181    	-1.8702     	-9.93626    	31.8662     	0.24648     	-297.476    	-188.514    	-1.36994    	0.410336    	-22.5197    
4.465 	-2.69539    	0.549464    	-7.844      	-1.88531    	-10.0443    	30.4358     	0.220562    	-299.381    	-188.053    	-1.64112    	0.414429    	-23.6595    
4.475 	-2.75805    	0.507134    	-8.53929    	-1.91906    	-10.2399    	29.0048     	0.198701    	-301.163    	-187.131    	-1.92154    	0.416334    	-24.6198    
4.485 	-2.80323    	0.470361    	-9.21509    	-1.97045    	-10.5064    	27.5738     	0.181046    	-302.825    	-185.739    	-2.20736    	0.41572     	-25.3728    
4.495 	-2.82965    	0.439754    	-9.83118    	-2.03747    	-10.8234    	26.1432     	0.167568    	-304.372    	-183.873    	-2.49435    	0.412354    	-25.8997    
4.505 	-2.83671    	0.415539    	-10.3517    	-2.11726    	-11.1677    	24.7135     	0.158071    	-305.809    	-181.531    	-2.77811    	0.406107    	-26.1911    
4.515 	-2.82449    	0.397566    	-10.7469    	-2.20624    	-11.5142    	23.2849     	0.152213    	-307.141    	-178.714    	-3.05442    	0.396958    	-26.247     
4.525 	-2.79376    	0.38533     	-10.9945    	-2.30027    	-11.8375    	21.8575     	0.14954     	-308.371    	-175.424    	-3.31941    	0.384987    	-26.0771    
4.535 	-2.74589    	0.378018    	-11.0805    	-2.39489    	-12.1131    	20.4315     	0.149509    	-309.502    	-171.665    	-3.5698     	0.370373    	-25.6994    
4.545 	-2.68279    	0.374561    	-10.9998    	-2.48554    	-12.3185    	19.0073     	0.151524    	-310.537    	-167.443    	-3.80302    	0.353378    	-25.1395    
4.555 	-2.60681    	0.373709    	-10.7559    	-2.56782    	-12.4346    	17.5851     	0.154971    	-311.477    	-162.761    	-4.01733    	0.334338    	-24.429     
4.565 	-2.52064    	0.374107    	-10.3609    	-2.6377     	-12.4461    	16.1654     	0.159244    	-312.325    	-157.626    	-4.21178    	0.313644    	-23.604     
4.575 	-2.42716    	0.374375    	-9.83426    	-2.69176    	-12.3426    	14.749      	0.163774    	-313.08     	-152.04     	-4.38627    	0.291729    	-22.7029    
4.585 	-2.3293     	0.373187    	-9.20147    	-2.72731    	-12.1189    	13.3368     	0.168054    	-313.743    	-146.01     	-4.54137    	0.269044    	-21.765     
4.595 	-2.22992    	0.369348    	-8.49282    	-2.74261    	-11.7752    	11.9301     	0.171653    	-314.314    	-139.54     	-4.67827    	0.246045    	-20.8279    
4.605 	-2.13173    	0.361854    	-7.74145    	-2.73687    	-11.3167    	10.5301     	0.174226    	-314.791    	-132.633    	-4.79855    	0.223176    	-19.9265    
4.615 	-2.0371     	0.349944    	-6.98162    	-2.71036    	-10.7539    	9.1385      	0.175521    	-315.176    	-125.296    	-4.90409    	0.200849    	-19.0908    
4.625 	-1.94804    	0.333139    	-6.24682    	-2.66432    	-10.1014    	7.75721     	0.175378    	-315.466    	-117.533    	-4.99679    	0.179431    	-18.3451    
4.635 	-1.86612    	0.31126     	-5.56804    	-2.60092    	-9.37743    	6.38819     	0.173717    	-315.663    	-109.351    	-5.07849    	0.159235    	-17.7067    
4.645 	-1.7924     	0.284427    	-4.97225    	-2.52311    	-8.60279    	5.03354     	0.170533    	-315.765    	-100.755    	-5.15076    	0.140508    	-17.1857    
4.655 	-1.72746    	0.253048    	-4.48106    	-2.43447    	-7.79988    	3.69542     	0.165881    	-315.773    	-91.7558    	-5.21481    	0.123427    	-16.7843    
4.665 	-1.67136    	0.217784    	-4.10976    	-2.33899    	-6.99155    	2.37595     	0.159854    	-315.687    	-82.3611    	-5.27141    	0.108094    	-16.4978    
4.675 	-1.62372    	0.179508    	-3.8667     	-2.24084    	-6.20005    	1.07719     	0.152573    	-315.507    	-72.5819    	-5.32083    	0.094537    	-16.3143    
4.685 	-1.58373    	0.139249    	-3.75302    	-2.14415    	-5.44594    	-0.198954   	0.144167    	-315.234    	-62.43      	-5.3629     	0.0827116   	-16.2164    
4.695 	-1.55025    	0.0981279   	-3.76288    	-2.05279    	-4.74721    	-1.45077    	0.134761    	-314.867    	-51.9182    	-5.39702    	0.0725085   	-16.182     
4.705 	-1.52188    	0.0572948   	-3.88384    	-1.97012    	-4.11847    	-2.6768     	0.124464    	-314.408    	-41.0604    	-5.42226    	0.0637599   	-16.1855    
4.715 	-1.49704    	0.0178611   	-4.09781    	-1.89886    	-3.57036    	-3.87589    	0.113361    	-313.856    	-29.8708    	-5.43749    	0.0562499   	-16.2       
4.725 	-1.47407    	-0.0191609  	-4.38209    	-1.8409     	-3.10915    	-5.04719    	0.101509    	-313.212    	-18.3643    	-5.44149    	0.049726    	-16.1981    
4.735 	-1.45132    	-0.0529124  	-4.7107     	-1.79723    	-2.73657    	-6.19018    	0.0889401   	-312.473    	-6.55586    	-5.43314    	0.0439116   	-16.1538    
4.745 	-1.42723    	-0.0827321  	-5.05581    	-1.7679     	-2.44989    	-7.30465    	0.075664    	-311.641    	5.53948     	-5.41152    	0.038519    	-16.0441    
4.755 	-1.40038    	-0.108188   	-5.38925    	-1.75202    	-2.24214    	-8.39069    	0.0616762   	-310.712    	17.907      	-5.37607    	0.0332628   	-15.8496    
4.765 	-1.36962    	-0.129093   	-5.68397    	-1.7478     	-2.10263    	-9.44866    	0.0469689   	-309.687    	30.5324     	-5.32665    	0.0278726   	-15.556     
4.775 	-1.33401    	-0.145513   	-5.9154     	-1.75271    	-2.01753    	-10.4791    	0.0315425   	-308.563    	43.4016     	-5.26368    	0.0221048   	-15.1547    
4.785 	-1.29293    	-0.15775    	-6.06263    	-1.7636     	-1.97069    	-11.4828    	0.0154183   	-307.338    	56.5009     	-5.18812    	0.0157531   	-14.6428    
4.795 	-1.24606    	-0.166322   	-6.10939    	-1.77689    	-1.94447    	-12.4605    	-0.0013496  	-306.012    	69.817      	-5.10148    	0.008657    	-14.0237    
4.805 	-1.19338    	-0.171923   	-6.04472    	-1.7888     	-1.92065    	-13.413     	-0.0186643  	-304.581    	83.3367     	-5.00575    	0.000708955 	-13.306     
4.815 	-1.13513    	-0.175383   	-5.86338    	-1.79554    	-1.88136    	-14.3412    	-0.0363792  	-303.046    	97.0464     	-4.90338    	-0.00814159 	-12.5038    
4.825 	-1.07181    	-0.17761    	-5.56592    	-1.79354    	-1.80995    	-15.2457    	-0.0542937  	-301.407    	110.933     	-4.79705    	-0.017886   	-11.6352    
4.835 	-1.00411    	-0.17954    	-5.15847    	-1.77967    	-1.6918     	-16.1269    	-0.0721543  	-299.664    	124.981     	-4.68963    	-0.0284571  	-10.7213    
4.845 	-0.932889   	-0.18208    	-4.65224    	-1.7514     	-1.51496    	-16.9853    	-0.0896592  	-297.819    	139.175     	-4.58393    	-0.0397316  	-9.78548    
4.855 	-0.859087   	-0.186054   	-4.06276    	-1.70694    	-1.27074    	-17.8207    	-0.106467   	-295.875    	153.501     	-4.48259    	-0.0515359  	-8.85139    
4.865 	-0.783696   	-0.192158   	-3.40897    	-1.64537    	-0.95403    	-18.633     	-0.122212   	-293.836    	167.938     	-4.38788    	-0.063653   	-7.94218    
4.875 	-0.707705   	-0.200924   	-2.71208    	-1.56664    	-0.563523   	-19.4218    	-0.136518   	-291.708    	182.47      	-4.30156    	-0.0758313  	-7.07909    
4.885 	-0.632048   	-0.212689   	-1.99447    	-1.47162    	-0.101713   	-20.1861    	-0.149018   	-289.498    	197.074     	-4.22474    	-0.0877955  	-6.28027    
4.895 	-0.557574   	-0.227581   	-1.27848    	-1.36202    	0.425278    	-20.9251    	-0.159376   	-287.215    	211.731     	-4.15782    	-0.0992581  	-5.55998    
4.905 	-0.485007   	-0.245514   	-0.585286   	-1.24032    	1.00803     	-21.6375    	-0.167308   	-284.867    	226.416     	-4.10043    	-0.109931   	-4.92776    
4.915 	-0.414937   	-0.266196   	0.0661476   	-1.10959    	1.63429     	-22.3221    	-0.172596   	-282.464    	241.107     	-4.0514     	-0.119538   	-4.38809    
4.925 	-0.347801   	-0.289153   	0.6599      	-0.973393   	2.28961     	-22.9776    	-0.175112   	-280.018    	255.779     	-4.00884    	-0.127826   	-3.94017    
4.935 	-0.283889   	-0.313751   	1.18379     	-0.835506   	2.95799     	-23.6024    	-0.174826   	-277.539    	270.408     	-3.97019    	-0.134576   	-3.57801    
4.945 	-0.223349   	-0.339242   	1.62985     	-0.699778   	3.62261     	-24.1954    	-0.171814   	-275.038    	284.972     	-3.93236    	-0.139614   	-3.29089    
4.955 	-0.166206   	-0.364804   	1.99447     	-0.569897   	4.26661     	-24.7553    	-0.166264   	-272.525    	299.446     	-3.89187    	-0.142815   	-3.06392    
4.965 	-0.112385   	-0.389585   	2.27845     	-0.449205   	4.87385     	-25.2811    	-0.158474   	-270.012    	313.809     	-3.84509    	-0.144114   	-2.87891    
4.975 	-0.0617315  	-0.412756   	2.48671     	-0.340523   	5.4295      	-25.7722    	-0.148836   	-267.505    	328.041     	-3.78832    	-0.143504   	-2.71536    
4.985 	-0.0140487  	-0.433551   	2.62778     	-0.246007   	5.92077     	-26.2281    	-0.13783    	-265.013    	342.124     	-3.71811    	-0.141041   	-2.55153    
4.995 	0.0308811   	-0.45131    	2.71324     	-0.167052   	6.33731     	-26.6486    	-0.126      	-262.542    	356.041     	-3.63137    	-0.136841   	-2.36564    
5.005 	0.0732677   	-0.465512   	2.75686     	-0.104228   	6.67165     	-27.0339    	-0.113932   	-260.096    	369.778     	-3.52557    	-0.131074   	-2.13696    
5.015 	0.113291    	-0.475797   	2.77381     	-0.0572742  	6.91942     	-27.3845    	-0.102225   	-257.676    	383.322     	-3.39887    	-0.123963   	-1.84688    
5.025 	0.151083    	-0.481985   	2.7797      	-0.0251294  	7.07943     	-27.7013    	-0.0914662  	-255.284    	396.663     	-3.25025    	-0.11577    	-1.47983    
5.035 	0.186717    	-0.484075   	2.78972     	-0.00601504 	7.15367     	-27.9852    	-0.0821998  	-252.918    	409.791     	-3.07955    	-0.10679    	-1.02409    
5.045 	0.220201    	-0.482244   	2.81781     	0.00244719  	7.14711     	-28.2376    	-0.0749014  	-250.574    	422.699     	-2.8875     	-0.097338   	-0.472317   
5.055 	0.25148     	-0.476829   	2.87589     	0.00308382  	7.06738     	-28.4599    	-0.0699535  	-248.249    	435.379     	-2.6757     	-0.0877374  	0.178129    
5.065 	0.280444    	-0.468304   	2.97331     	-0.0010043  	6.9244      	-28.6538    	-0.0676256  	-245.936    	447.823     	-2.44656    	-0.0783072  	0.925057    
5.075 	0.306937    	-0.457245   	3.1164      	-0.00662912 	6.72986     	-28.8208    	-0.0680599  	-243.629    	460.025     	-2.20315    	-0.0693499  	1.76161     
5.085 	0.330776    	-0.444298   	3.30821     	-0.0107046  	6.49669     	-28.9625    	-0.0712628  	-241.32     	471.975     	-1.94913    	-0.0611402  	2.67664     
5.095 	0.351771    	-0.430138   	3.54843     	-0.0104277  	6.23849     	-29.0804    	-0.0771038  	-239.002    	483.664     	-1.6885     	-0.0539147  	3.65526     
5.105 	0.369743    	-0.415429   	3.83354     	-0.00344002 	5.9689      	-29.176     	-0.0853203  	-236.666    	495.081     	-1.4255     	-0.0478626  	4.67957     
5.115 	0.384547    	-0.400788   	4.15704     	0.0120372   	5.7011      	-29.2503    	-0.0955301  	-234.307    	506.214     	-1.16437    	-0.0431198  	5.72957     
