q      	cage        
5.135 	15.0914     
5.145 	15.1825     
5.155 	15.1864     
5.165 	15.0912     
5.175 	14.8882     
5.185 	14.5716     
5.195 	14.1393     
5.205 	13.5928     
5.215 	12.937      
5.225 	12.1802     
5.235 	11.3336     
5.245 	10.4111     
5.255 	9.42865     
5.265 	8.40372     
5.275 	7.35471     
5.285 	6.30025     
5.295 	5.25861     
5.305 	4.24704     
5.315 	3.28123     
5.325 	2.3748      
5.335 	1.53887     
5.345 	0.78176     
5.355 	0.108788    
5.365 	-0.477833   
5.375 	-0.978961   
5.385 	-1.39839    
5.395 	-1.74259    
5.405 	-2.02037    
5.415 	-2.24248    
5.425 	-2.4211     
5.435 	-2.56929    
5.445 	-2.7005     
5.455 	-2.82799    
5.465 	-2.96427    
5.475 	-3.12066    
5.485 	-3.30684    
5.495 	-3.53048    
5.505 	-3.79699    
5.515 	-4.10931    
5.525 	-4.46786    
5.535 	-4.87058    
5.545 	-5.313      
5.555 	-5.78847    
5.565 	-6.28848    
5.575 	-6.803      
5.585 	-7.32088    
5.595 	-7.83035    
5.605 	-8.31941    
5.615 	-8.77639    
5.625 	-9.19032    
5.635 	-9.5514     
5.645 	-9.85133    
5.655 	-10.0836    
5.665 	-10.2438    
5.675 	-10.3296    
5.685 	-10.341     
5.695 	-10.2802    
5.705 	-10.1512    
5.715 	-9.96044    
5.725 	-9.71551    
5.735 	-9.42553    
5.745 	-9.10055    
5.755 	-8.75116    
5.765 	-8.38813    
5.775 	-8.02197    
5.785 	-7.66256    
5.795 	-7.3188     
5.805 	-6.99831    
5.815 	-6.70718    
5.825 	-6.44976    
5.835 	-6.22859    
5.845 	-6.04433    
5.855 	-5.89581    
5.865 	-5.78012    
5.875 	-5.69284    
5.885 	-5.62818    
5.895 	-5.57934    
5.905 	-5.53879    
5.915 	-5.49861    
5.925 	-5.45083    
5.935 	-5.38777    
5.945 	-5.3024     
5.955 	-5.18857    
5.965 	-5.04131    
5.975 	-4.85698    
5.985 	-4.63348    
5.995 	-4.37025    
6.005 	-4.06834    
6.015 	-3.73034    
6.025 	-3.36024    
6.035 	-2.96333    
6.045 	-2.54591    
6.055 	-2.11509    
6.065 	-1.67849    
6.075 	-1.24393    
6.085 	-0.819157   
6.095 	-0.411512   
6.105 	-0.027693   
6.115 	0.326511    
6.125 	0.64642     
6.135 	0.92862     
6.145 	1.17107     
6.155 	1.37316     
6.165 	1.53569     
6.175 	1.66082     
6.185 	1.75195     
6.195 	1.81355     
6.205 	1.85099     
6.215 	1.87027     
6.225 	1.87776     
6.235 	1.88        
6.245 	1.88333     
6.255 	1.89374     
6.265 	1.91655     
6.275 	1.95625     
6.285 	2.0163      
6.295 	2.09903     
6.305 	2.20553     
6.315 	2.33565     
6.325 	2.48799     
6.335 	2.66        
6.345 	2.84806     
6.355 	3.04765     
6.365 	3.25357     
6.375 	3.46008     
6.385 	3.6612      
6.395 	3.85092     
6.405 	4.02343     
6.415 	4.17336     
6.425 	4.29597     
6.435 	4.38735     
6.445 	4.44454     
6.455 	4.46565     
6.465 	4.44991     
6.475 	4.3977      
6.485 	4.31053     
6.495 	4.19093     
6.505 	4.04241     
6.515 	3.86925     
6.525 	3.67639     
6.535 	3.46917     
6.545 	3.25321     
6.555 	3.03413     
6.565 	2.8174      
6.575 	2.60809     
6.585 	2.41077     
6.595 	2.22928     
6.605 	2.06668     
6.615 	1.92512     
6.625 	1.80584     
6.635 	1.70911     
6.645 	1.63428     
6.655 	1.57989     
6.665 	1.54368     
6.675 	1.5228      
6.685 	1.51389     
6.695 	1.51328     
6.705 	1.51717     
6.715 	1.52174     
6.725 	1.52339     
6.735 	1.51885     
6.745 	1.50532     
6.755 	1.48057     
6.765 	1.44304     
6.775 	1.39191     
6.785 	1.32705     
6.795 	1.24909     
6.805 	1.15931     
6.815 	1.0596      
6.825 	0.952365    
6.835 	0.840376    
6.845 	0.726667    
6.855 	0.614379    
6.865 	0.506613    
6.875 	0.406288    
6.885 	0.316012    
6.895 	0.23796     
6.905 	0.173776    
6.915 	0.124503    
6.925 	0.0905314   
6.935 	0.0715826   
6.945 	0.06672     
6.955 	0.0743883   
6.965 	0.0924794   
6.975 	0.118422    
6.985 	0.149293    
6.995 	0.181939    
7.005 	0.213114    
7.015 	0.239614    
7.025 	0.258419    
7.035 	0.266814    
7.045 	0.262513    
7.055 	0.243753    
7.065 	0.209368    
7.075 	0.158848    
7.085 	0.0923532   
7.095 	0.0107208   
7.105 	-0.084573   
7.115 	-0.191468   
7.125 	-0.307403   
7.135 	-0.429415   
7.145 	-0.554259   
7.155 	-0.67854    
7.165 	-0.798846   
7.175 	-0.911883   
7.185 	-1.01461    
7.195 	-1.10436    
7.205 	-1.17894    
7.215 	-1.23673    
7.225 	-1.27672    
7.235 	-1.29859    
7.245 	-1.30267    
7.255 	-1.28998    
7.265 	-1.26213    
7.275 	-1.2213     
7.285 	-1.17013    
7.295 	-1.1116     
7.305 	-1.04894    
7.315 	-0.98548    
7.325 	-0.924509   
7.335 	-0.869163   
7.345 	-0.822288   
7.355 	-0.786329   
7.365 	-0.763232   
7.375 	-0.754371   
7.385 	-0.76049    
7.395 	-0.78168    
7.405 	-0.817374   
7.415 	-0.86637    
7.425 	-0.926883   
7.435 	-0.99662    
7.445 	-1.07286    
7.455 	-1.15259    
7.465 	-1.23258    
7.475 	-1.30957    
7.485 	-1.38034    
7.495 	-1.44187    
7.505 	-1.49146    
7.515 	-1.52683    
7.525 	-1.54619    
7.535 	-1.54832    
7.545 	-1.53265    
7.555 	-1.49921    
7.565 	-1.44869    
7.575 	-1.38238    
7.585 	-1.30212    
7.595 	-1.21023    
7.605 	-1.10943    
7.615 	-1.00269    
7.625 	-0.893192   
7.635 	-0.784121   
7.645 	-0.678602   
7.655 	-0.579559   
7.665 	-0.489611   
7.675 	-0.410974   
7.685 	-0.345382   
7.695 	-0.294027   
7.705 	-0.257521   
7.715 	-0.235883   
7.725 	-0.228543   
7.735 	-0.234379   
7.745 	-0.251765   
7.755 	-0.278646   
7.765 	-0.312624   
7.775 	-0.351059   
7.785 	-0.391178   
7.795 	-0.430184   
7.805 	-0.465371   
7.815 	-0.494231   
7.825 	-0.514546   
7.835 	-0.524478   
7.845 	-0.522631   
7.855 	-0.508107   
7.865 	-0.480529   
7.875 	-0.440049   
7.885 	-0.387338   
7.895 	-0.323548   
7.905 	-0.250257   
7.915 	-0.169406   
7.925 	-0.0832091  
7.935 	0.00593714  
7.945 	0.0955516   
7.955 	0.183171    
7.965 	0.266446    
7.975 	0.343239    
7.985 	0.411698    
7.995 	0.470334    
8.005 	0.518068    
8.015 	0.554271    
8.025 	0.578779    
8.035 	0.591887    
8.045 	0.59433     
8.055 	0.587243    
8.065 	0.572102    
8.075 	0.550657    
8.085 	0.524849    
8.095 	0.496725    
8.105 	0.468346    
8.115 	0.441695    
8.125 	0.418597    
8.135 	0.400636    
8.145 	0.38909     
8.155 	0.384878    
8.165 	0.388525    
8.175 	0.400139    
8.185 	0.419415    
8.195 	0.445649    
8.205 	0.477771    
8.215 	0.514397    
8.225 	0.553896    
8.235 	0.594457    
8.245 	0.634177    
8.255 	0.671147    
8.265 	0.703535    
8.275 	0.729675    
8.285 	0.748139    
8.295 	0.757804    
8.305 	0.757909    
8.315 	0.748091    
8.325 	0.728406    
8.335 	0.699336    
8.345 	0.66177     
8.355 	0.616974    
8.365 	0.566543    
8.375 	0.512338    
8.385 	0.45641     
8.395 	0.400917    
8.405 	0.348035    
8.415 	0.299866    
8.425 	0.258349    
8.435 	0.225177    
8.445 	0.201724    
8.455 	0.188978    
8.465 	0.187498    
8.475 	0.197381    
8.485 	0.218249    
8.495 	0.249257    
8.505 	0.289118    
8.515 	0.336146    
8.525 	0.388315    
8.535 	0.443334    
8.545 	0.498731    
8.555 	0.551946    
8.565 	0.600431    
8.575 	0.641747    
8.585 	0.673659    
8.595 	0.694227    
8.605 	0.701881    
8.615 	0.695486    
8.625 	0.674396    
8.635 	0.638477    
8.645 	0.588125    
8.655 	0.524254    
8.665 	0.448272    
8.675 	0.362031    
8.685 	0.267764    
8.695 	0.168012    
8.705 	0.0655301   
8.715 	-0.0368078  
8.725 	-0.136112   
8.735 	-0.229577   
8.745 	-0.314587   
8.755 	-0.388802   
8.765 	-0.450242   
8.775 	-0.497361   
8.785 	-0.529093   
8.795 	-0.544891   
8.805 	-0.544743   
8.815 	-0.529168   
8.825 	-0.499192   
8.835 	-0.456308   
8.845 	-0.40242    
8.855 	-0.339764   
8.865 	-0.270831   
8.875 	-0.198272   
8.885 	-0.124798   
8.895 	-0.0530848  
8.905 	0.0143223   
8.915 	0.075101    
8.925 	0.12723     
8.935 	0.169056    
8.945 	0.19935     
8.955 	0.217337    
8.965 	0.222722    
8.975 	0.215683    
8.985 	0.196856    
8.995 	0.167301    
9.005 	0.128447    
9.015 	0.0820324   
9.025 	0.0300254   
9.035 	-0.0254545  
9.045 	-0.0822253  
9.055 	-0.13813    
9.065 	-0.19112    
9.075 	-0.239338   
9.085 	-0.281183   
9.095 	-0.315373   
9.105 	-0.340988   
9.115 	-0.357499   
9.125 	-0.364781   
9.135 	-0.36311    
9.145 	-0.353145   
9.155 	-0.335888   
9.165 	-0.31264    
9.175 	-0.284937   
9.185 	-0.254483   
9.195 	-0.223074   
9.205 	-0.19252    
9.215 	-0.164565   
9.225 	-0.140816   
9.235 	-0.122672   
9.245 	-0.111266   
9.255 	-0.107418   
9.265 	-0.111601   
9.275 	-0.12392    
9.285 	-0.144111   
9.295 	-0.171551   
9.305 	-0.205283   
9.315 	-0.244057   
9.325 	-0.286384   
9.335 	-0.330595   
9.345 	-0.37491    
9.355 	-0.417516   
9.365 	-0.456636   
9.375 	-0.490605   
9.385 	-0.517942   
9.395 	-0.537404   
9.405 	-0.548045   
9.415 	-0.549251   
9.425 	-0.540766   
9.435 	-0.522707   
9.445 	-0.495557   
9.455 	-0.460148   
9.465 	-0.417629   
9.475 	-0.36942    
9.485 	-0.317158   
9.495 	-0.262629   
9.505 	-0.207701   
9.515 	-0.154246   
